5,9,9,5,2623,119,0,0,4
2,2,2,2,628,42,0,0,0
1,0,0,1,928,44,0,0,0
5,17,17,13,2436,167,0,0,1
1,1,1,0,322,23,0,0,2
3,7,7,4,575,48,0,0,1
0,2,2,0,360,20,0,17,0
0,2,2,0,1643,46,1,0,5
0,9,9,1,1764,83,1,0,3
6,18,18,1,3240,172,0,0,3
0,0,0,0,142,6,0,0,0
2,7,7,3,884,54,0,0,0
0,0,0,1,391,26,0,0,0
0,18,18,4,2845,153,0,0,3
0,0,0,0,142,3,0,0,0
0,0,0,0,1089,29,0,0,3
19,30,30,6,3036,200,0,0,4
1,0,0,0,169,10,0,0,1
1,0,0,0,792,25,0,0,3
3,14,14,0,3249,152,0,0,1
6,15,15,16,2430,156,0,0,2
0,1,1,0,2047,71,1,0,1
0,15,15,0,3060,159,0,101,0
3,6,6,0,1290,44,1,0,2
3,0,0,5,1373,85,0,0,0
4,3,3,1,1236,56,0,0,3
0,0,0,0,2,1,0,0,0
5,8,8,3,1456,89,0,0,1
7,3,3,2,1564,83,0,0,1
11,32,32,24,3217,264,0,0,6
0,0,0,0,82,2,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,180,8,0,5,0
2,0,0,2,748,37,0,0,0
0,0,0,0,143,2,0,4,0
1,1,1,0,1779,52,0,0,5
0,2,2,0,1517,45,0,0,6
3,7,7,2,2483,85,2,0,5
5,12,12,1,2503,119,0,0,4
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,3,3,0,702,45,0,0,3
1,19,19,2,2821,121,1,0,4
1,0,0,1,272,20,0,0,0
0,0,0,0,15,1,0,0,0
0,0,0,0,0,0,0,0,0
11,19,19,8,2841,167,0,0,2
1,0,0,0,694,26,0,0,1
3,9,9,0,3153,115,0,0,5
5,17,17,12,1206,116,0,0,2
0,0,0,0,38,1,0,0,0
0,2,2,0,3097,134,0,115,2
0,3,3,0,810,32,0,0,3
2,5,5,2,618,38,0,0,2
0,0,0,0,0,0,0,0,0
2,8,8,2,2274,90,0,0,11
0,0,0,0,0,0,0,0,0
3,7,7,10,1916,122,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1498,47,0,44,1
0,15,15,3,2287,120,0,0,4
0,0,0,0,0,0,0,0,0
5,9,9,0,1660,76,0,0,3
1,12,12,0,3150,121,0,0,2
2,6,6,0,2311,92,0,0,3
0,0,0,0,0,0,0,0,0
1,5,5,2,1563,77,0,0,5
1,4,4,2,729,36,0,0,4
1,3,3,5,447,51,0,0,0
6,13,13,6,2007,116,0,0,6
1,3,3,2,583,36,0,0,1
1,2,2,0,447,19,0,0,1
2,3,3,1,1491,57,0,0,4
11,23,23,7,2990,168,0,0,5
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,1,1461,51,0,0,3
6,13,13,4,1857,103,0,0,0
0,0,0,0,0,0,0,0,0
8,29,29,16,2944,207,0,0,4
0,0,0,0,106,7,0,0,0
3,16,16,14,1861,120,1,0,5
1,0,0,0,30,6,0,0,0
0,0,0,0,41,4,0,0,0
7,10,10,4,1709,89,0,0,3
1,0,0,1,805,23,0,0,2
1,8,8,1,1572,68,1,0,7
0,0,0,0,1620,76,0,47,0
0,1,1,0,1661,45,0,0,5
0,0,0,0,302,14,0,4,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0
1,0,0,0,350,16,0,0,0
0,0,0,0,0,0,0,0,0
